orispl_code,state,county,name,latitude,longitude,operator,primary_fuel,years
56232,CA,San Diego,Miramar Energy Facility,32.8769,-117.1664,San Diego Gas and Electric Company,Pipeline Natural Gas,2005-2017
56237,UT,Utah,Lake Side Power Plant,40.3311,-111.7547,Pacificorp Energy Generation,Pipeline Natural Gas,2007-2017
56239,CA,Fresno,Malaga Power,36.6894,-119.7399,"Malaga Power, LLC",Pipeline Natural Gas,2005-2017
56253,UT,Washington,Millcreek Power,37.1124,-113.5155,City of St. George,Pipeline Natural Gas,2006-2017
56298,CA,Placer,Roseville Energy Park,38.7926,-121.3823,"City of Roseville, CA",Pipeline Natural Gas,2007-2017
56319,WY,Campbell,Wygen II,44.2911,-105.3815,"Black Hills Power, Inc",Coal,2008-2017
56445,CO,Weld,Spindle Hill Energy Center,40.0914,-104.8819,Invenergy,Pipeline Natural Gas,2007-2017
56458,NM,Lea,Hobbs Generating Station,32.7282,-103.3095,"CAMS, LLC",Natural Gas,2008-2017
56467,CA,Alameda,Russell City Energy Company LLC,37.6341,-122.1326,"Russell City Energy Center, LLC",Pipeline Natural Gas,2013-2017
56471,CA,Ventura,McGrath Generating Station,34.2054,-119.2478,Southern California Edison Company,Pipeline Natural Gas,2012-2017
56472,CA,San Bernardino,Grapeland Generating Station,34.09,-117.534,Southern California Edison Company,Pipeline Natural Gas,2007-2017
56473,CA,San Bernardino,Mira Loma Generating Station,34.0054,-117.5604,Southern California Edison Company,Pipeline Natural Gas,2007-2017
56474,CA,Orange,Barre Generating Station,33.8073,-117.9833,Southern California Edison Company,Pipeline Natural Gas,2007-2017
56475,CA,Los Angeles,Center Generating Station,33.9297,-118.1047,Southern California Edison Company,Pipeline Natural Gas,2007-2017
56476,CA,Contra Costa,Gateway Generating Station,38.0167,-121.7592,Pacific Gas and Electric Company,Pipeline Natural Gas,2009-2017
56482,AZ,Mohave,Black Mountain Generating Station,35.0361,-114.1594,UniSource Energy Development Company,Natural Gas,2008-2017
56532,CA,Colusa,Colusa Generating Station,39.3648,-122.268,Pacific Gas and Electric Company,Pipeline Natural Gas,2010-2017
56569,CA,Imperial,Niland Gas Turbine Plant,33.2432,-115.498,Imperial Irrigation District,Pipeline Natural Gas,2008-2017
56596,WY,Campbell,Wygen III,44.2892,-105.3795,"Black Hills Power, Inc",Coal,2010-2017
56606,MT,Roosevelt,Culbertson Station,48.2104,-104.3919,Basin Electric Power Cooperative,Pipeline Natural Gas,2010-2017
56609,WY,Campbell,Dry Fork Station,44.3901,-105.4591,Basin Electric Power Cooperative,Coal,2011-2017
56639,CA,Fresno,Midway Peaking,36.654,-120.5797,"Midway Peaking, LLC",Pipeline Natural Gas,2009-2017
56803,CA,Fresno,Panoche Energy Center,36.6513,-120.5833,"Panoche Energy Center, LLC",Pipeline Natural Gas,2009-2017
56908,MT,Deer Lodge,Mill Creek Generating Station,46.1066,-112.8755,NAES Corporation,Pipeline Natural Gas,2010-2017
56914,CA,San Diego,Orange Grove Project,33.359,-117.111,"Orange Grove Energy, LP",Pipeline Natural Gas,2010-2017
56948,AZ,Pinal,Coolidge Generating Station,32.9175,-111.5041,"Coolidge Power, LLC",Pipeline Natural Gas,2010-2017
56998,CO,Pueblo,Pueblo Airport Generating Station,38.322,-104.533,"Black Hills Electric Generation, LLC",Pipeline Natural Gas,2012-2017
57001,CA,San Diego,El Cajon Energy Center,32.7971,-116.972,"El Cajon Energy, LLC",Pipeline Natural Gas,2010-2017
57027,CA,Orange,Canyon Power Plant,33.8581,-117.8616,City of Anaheim,Pipeline Natural Gas,2011-2017
57028,ID,Payette,Langley Gulch Power Plant,43.9046,-116.8181,Idaho Power Company,Pipeline Natural Gas,2012-2017
57073,CA,San Bernardino,Ivanpah 2,35.5561,-115.4686,"NRG Energy, Inc",Pipeline Natural Gas,2013-2017
57074,CA,San Bernardino,Ivanpah 1,35.5356,-115.4515,"NRG Energy, Inc",Pipeline Natural Gas,2013-2017
57075,CA,San Bernardino,Ivanpah 3,35.5808,-115.4825,"NRG Energy, Inc",Pipeline Natural Gas,2013-2017
57267,CA,Contra Costa,Marsh Landing Generating Station,38.0171,-121.7651,NRG Marsh Landing LLC,Pipeline Natural Gas,2013-2017
57480,MT,Cascade,Highwood Generating Station,47.55,-111.03,"Southern Montana Electric G & T Cooperative, Inc.",Pipeline Natural Gas,2013-2015
57482,CA,Riverside,"Sentinel Energy Center, LLC",33.9366,-116.5722,"CPV Sentinel, LLC",Pipeline Natural Gas,2013-2017
57483,CA,Alameda,Mariposa Energy Project,37.7965,-121.6049,"Mariposa Energy, Limited Liability Corporation",Pipeline Natural Gas,2012-2017
57515,CA,Los Angeles,Walnut Creek Energy Park,34.0078,-117.9425,"Walnut Creek Energy, LLC",Pipeline Natural Gas,2013-2017
57555,CA,San Diego,Pio Pico Energy Center LLC,32.5739,-116.9178,Pio Pico Energy Center LLC,Pipeline Natural Gas,2016-2017
57564,CA,Fresno,Algonquin Power Sanger,36.72,-119.55,"Algonquin Power Sanger, LLC",Pipeline Natural Gas,2017-2017
57703,WY,Laramie,Cheyenne Prairie Generating Station,41.1229,-104.7214,Black Hills Service Company LLC,Pipeline Natural Gas,2015-2017
57978,CA,San Joaquin,Lodi Energy Center,38.088,-121.3867,Northern California Power Agency,Pipeline Natural Gas,2012-2017
58122,CA,Tulare,"Delano Energy Center, LLC",35.7909,-119.2945,"Wellhead Services, Inc.",Pipeline Natural Gas,2013-2017
58284,NM,Valencia,La Luz Energy Center,34.6178,-106.817,Public Service Company of New Mexico,Pipeline Natural Gas,2016-2017
58503,OR,Morrow,Carty Generating Station,45.699,-119.8131,Portland General Electric Company,Pipeline Natural Gas,2016-2017
58562,TX,El Paso,Montana Power Station,31.8239,-106.2119,El Paso Electric Company,Pipeline Natural Gas,2015-2017
